timeline,survival_probability,group,risk_group,color,linestyle
117,0.730701642,High Risk - Unweighted,high,red,solid
118,0.730701642,High Risk - Unweighted,high,red,solid
120,0.730701642,High Risk - Unweighted,high,red,solid
121,0.730701642,High Risk - Unweighted,high,red,solid
122,0.730701642,High Risk - Unweighted,high,red,solid
123,0.730701642,High Risk - Unweighted,high,red,solid
124,0.730701642,High Risk - Unweighted,high,red,solid
125,0.730701642,High Risk - Unweighted,high,red,solid
126,0.730701642,High Risk - Unweighted,high,red,solid
127,0.730701642,High Risk - Unweighted,high,red,solid
131,0.730701642,High Risk - Unweighted,high,red,solid
0,1,High Risk - ATT Weighted,high,red,dot
1.6,0.999052133,High Risk - ATT Weighted,high,red,dot
2.6,0.999052133,High Risk - ATT Weighted,high,red,dot
3.6,0.994230453,High Risk - ATT Weighted,high,red,dot
4.6,0.992279068,High Risk - ATT Weighted,high,red,dot
5.6,0.988309952,High Risk - ATT Weighted,high,red,dot
6.6,0.985302923,High Risk - ATT Weighted,high,red,dot
7.6,0.980144269,High Risk - ATT Weighted,high,red,dot
8.6,0.973854574,High Risk - ATT Weighted,high,red,dot
9.6,0.969573894,High Risk - ATT Weighted,high,red,dot
10.6,0.968480801,High Risk - ATT Weighted,high,red,dot
11.6,0.964012608,High Risk - ATT Weighted,high,red,dot
12.6,0.957175639,High Risk - ATT Weighted,high,red,dot
13.6,0.954869192,High Risk - ATT Weighted,high,red,dot
14.6,0.950118599,High Risk - ATT Weighted,high,red,dot
15.6,0.944112792,High Risk - ATT Weighted,high,red,dot
16.6,0.941670068,High Risk - ATT Weighted,high,red,dot
17.6,0.935491131,High Risk - ATT Weighted,high,red,dot
18.6,0.931724052,High Risk - ATT Weighted,high,red,dot
19.6,0.929202472,High Risk - ATT Weighted,high,red,dot
20.6,0.926653219,High Risk - ATT Weighted,high,red,dot
21.6,0.921505146,High Risk - ATT Weighted,high,red,dot
22.6,0.914978905,High Risk - ATT Weighted,high,red,dot
23.6,0.914978905,High Risk - ATT Weighted,high,red,dot
24.6,0.913641217,High Risk - ATT Weighted,high,red,dot
25.6,0.910926087,High Risk - ATT Weighted,high,red,dot
26.6,0.910926087,High Risk - ATT Weighted,high,red,dot
27.6,0.905346142,High Risk - ATT Weighted,high,red,dot
28.6,0.899731592,High Risk - ATT Weighted,high,red,dot
29.6,0.899731592,High Risk - ATT Weighted,high,red,dot
30.6,0.898294321,High Risk - ATT Weighted,high,red,dot
31.6,0.896838415,High Risk - ATT Weighted,high,red,dot
32.6,0.896838415,High Risk - ATT Weighted,high,red,dot
33.6,0.89239862,High Risk - ATT Weighted,high,red,dot
34.6,0.890906315,High Risk - ATT Weighted,high,red,dot
35.6,0.890906315,High Risk - ATT Weighted,high,red,dot
36.6,0.889388587,High Risk - ATT Weighted,high,red,dot
37.6,0.883222982,High Risk - ATT Weighted,high,red,dot
38.6,0.883222982,High Risk - ATT Weighted,high,red,dot
39.6,0.883222982,High Risk - ATT Weighted,high,red,dot
40.6,0.881640145,High Risk - ATT Weighted,high,red,dot
41.6,0.881640145,High Risk - ATT Weighted,high,red,dot
42.6,0.881640145,High Risk - ATT Weighted,high,red,dot
43.6,0.880004449,High Risk - ATT Weighted,high,red,dot
44.6,0.880004449,High Risk - ATT Weighted,high,red,dot
45.6,0.880004449,High Risk - ATT Weighted,high,red,dot
46.6,0.880004449,High Risk - ATT Weighted,high,red,dot
47.6,0.876546671,High Risk - ATT Weighted,high,red,dot
48.6,0.876546671,High Risk - ATT Weighted,high,red,dot
49.6,0.87294689,High Risk - ATT Weighted,high,red,dot
50.6,0.87110523,High Risk - ATT Weighted,high,red,dot
51.6,0.865521222,High Risk - ATT Weighted,high,red,dot
52.6,0.863618977,High Risk - ATT Weighted,high,red,dot
53.6,0.863618977,High Risk - ATT Weighted,high,red,dot
54.6,0.859711199,High Risk - ATT Weighted,high,red,dot
55.6,0.857697824,High Risk - ATT Weighted,high,red,dot
56.6,0.855636051,High Risk - ATT Weighted,high,red,dot
57.6,0.851410687,High Risk - ATT Weighted,high,red,dot
58.6,0.851410687,High Risk - ATT Weighted,high,red,dot
59.6,0.849187683,High Risk - ATT Weighted,high,red,dot
60.6,0.849187683,High Risk - ATT Weighted,high,red,dot
61.6,0.849187683,High Risk - ATT Weighted,high,red,dot
62.6,0.849187683,High Risk - ATT Weighted,high,red,dot
63.6,0.846558619,High Risk - ATT Weighted,high,red,dot
64.6,0.843818947,High Risk - ATT Weighted,high,red,dot
65.6,0.843818947,High Risk - ATT Weighted,high,red,dot
66.6,0.840929156,High Risk - ATT Weighted,high,red,dot
67.6,0.837978527,High Risk - ATT Weighted,high,red,dot
68.6,0.837978527,High Risk - ATT Weighted,high,red,dot
69.6,0.834863366,High Risk - ATT Weighted,high,red,dot
70.6,0.834863366,High Risk - ATT Weighted,high,red,dot
71.6,0.834863366,High Risk - ATT Weighted,high,red,dot
72.6,0.831537217,High Risk - ATT Weighted,high,red,dot
73.6,0.828028621,High Risk - ATT Weighted,high,red,dot
74.6,0.824444081,High Risk - ATT Weighted,high,red,dot
75.6,0.824444081,High Risk - ATT Weighted,high,red,dot
76.6,0.824444081,High Risk - ATT Weighted,high,red,dot
77.6,0.824444081,High Risk - ATT Weighted,high,red,dot
78.6,0.824444081,High Risk - ATT Weighted,high,red,dot
79.6,0.82012762,High Risk - ATT Weighted,high,red,dot
80.6,0.815670405,High Risk - ATT Weighted,high,red,dot
81.6,0.815670405,High Risk - ATT Weighted,high,red,dot
82.6,0.815670405,High Risk - ATT Weighted,high,red,dot
83.6,0.815670405,High Risk - ATT Weighted,high,red,dot
84.6,0.810666292,High Risk - ATT Weighted,high,red,dot
85.6,0.805567762,High Risk - ATT Weighted,high,red,dot
86.6,0.805567762,High Risk - ATT Weighted,high,red,dot
87.6,0.805567762,High Risk - ATT Weighted,high,red,dot
88.6,0.800050174,High Risk - ATT Weighted,high,red,dot
89.6,0.800050174,High Risk - ATT Weighted,high,red,dot
90.6,0.793989188,High Risk - ATT Weighted,high,red,dot
91.6,0.787533992,High Risk - ATT Weighted,high,red,dot
92.6,0.787533992,High Risk - ATT Weighted,high,red,dot
93.6,0.773470885,High Risk - ATT Weighted,high,red,dot
94.6,0.773470885,High Risk - ATT Weighted,high,red,dot
95.6,0.765496958,High Risk - ATT Weighted,high,red,dot
96.6,0.765496958,High Risk - ATT Weighted,high,red,dot
97.6,0.756798129,High Risk - ATT Weighted,high,red,dot
98.6,0.756798129,High Risk - ATT Weighted,high,red,dot
99.6,0.756798129,High Risk - ATT Weighted,high,red,dot
100.6,0.756798129,High Risk - ATT Weighted,high,red,dot
101.6,0.756798129,High Risk - ATT Weighted,high,red,dot
102.6,0.756798129,High Risk - ATT Weighted,high,red,dot
103.6,0.756798129,High Risk - ATT Weighted,high,red,dot
104.6,0.756798129,High Risk - ATT Weighted,high,red,dot
105.6,0.756798129,High Risk - ATT Weighted,high,red,dot
106.6,0.756798129,High Risk - ATT Weighted,high,red,dot
107.6,0.756798129,High Risk - ATT Weighted,high,red,dot
108.6,0.756798129,High Risk - ATT Weighted,high,red,dot
110.6,0.756798129,High Risk - ATT Weighted,high,red,dot
111.6,0.756798129,High Risk - ATT Weighted,high,red,dot
112.6,0.756798129,High Risk - ATT Weighted,high,red,dot
113.6,0.756798129,High Risk - ATT Weighted,high,red,dot
114.6,0.730701642,High Risk - ATT Weighted,high,red,dot
115.6,0.730701642,High Risk - ATT Weighted,high,red,dot
116.6,0.730701642,High Risk - ATT Weighted,high,red,dot
117.6,0.730701642,High Risk - ATT Weighted,high,red,dot
118.6,0.730701642,High Risk - ATT Weighted,high,red,dot
120.6,0.730701642,High Risk - ATT Weighted,high,red,dot
121.6,0.730701642,High Risk - ATT Weighted,high,red,dot
122.6,0.730701642,High Risk - ATT Weighted,high,red,dot
123.6,0.730701642,High Risk - ATT Weighted,high,red,dot
124.6,0.730701642,High Risk - ATT Weighted,high,red,dot
125.6,0.730701642,High Risk - ATT Weighted,high,red,dot
126.6,0.730701642,High Risk - ATT Weighted,high,red,dot
127.6,0.730701642,High Risk - ATT Weighted,high,red,dot
131.6,0.730701642,High Risk - ATT Weighted,high,red,dot
0,1,High Risk - ATE Weighted,high,red,dash
1,0.999393121,High Risk - ATE Weighted,high,red,dash
2,0.999393121,High Risk - ATE Weighted,high,red,dash
3,0.995373224,High Risk - ATE Weighted,high,red,dash
4,0.993639976,High Risk - ATE Weighted,high,red,dash
5,0.990171931,High Risk - ATE Weighted,high,red,dash
6,0.986798177,High Risk - ATE Weighted,high,red,dash
7,0.982600617,High Risk - ATE Weighted,high,red,dash
8,0.977855336,High Risk - ATE Weighted,high,red,dash
9,0.973164241,High Risk - ATE Weighted,high,red,dash
10,0.972658222,High Risk - ATE Weighted,high,red,dash
11,0.96937812,High Risk - ATE Weighted,high,red,dash
12,0.965086605,High Risk - ATE Weighted,high,red,dash
13,0.963604704,High Risk - ATE Weighted,high,red,dash
14,0.960851049,High Risk - ATE Weighted,high,red,dash
15,0.957106931,High Risk - ATE Weighted,high,red,dash
16,0.955304625,High Risk - ATE Weighted,high,red,dash
17,0.951386373,High Risk - ATE Weighted,high,red,dash
18,0.948261093,High Risk - ATE Weighted,high,red,dash
19,0.946386231,High Risk - ATE Weighted,high,red,dash
20,0.944375404,High Risk - ATE Weighted,high,red,dash
21,0.941356799,High Risk - ATE Weighted,high,red,dash
22,0.937403266,High Risk - ATE Weighted,high,red,dash
23,0.937403266,High Risk - ATE Weighted,high,red,dash
24,0.935655527,High Risk - ATE Weighted,high,red,dash
25,0.931269052,High Risk - ATE Weighted,high,red,dash
26,0.931269052,High Risk - ATE Weighted,high,red,dash
27,0.927626175,High Risk - ATE Weighted,high,red,dash
28,0.922145735,High Risk - ATE Weighted,high,red,dash
29,0.922145735,High Risk - ATE Weighted,high,red,dash
30,0.92148791,High Risk - ATE Weighted,high,red,dash
31,0.920572752,High Risk - ATE Weighted,high,red,dash
32,0.920572752,High Risk - ATE Weighted,high,red,dash
33,0.917943952,High Risk - ATE Weighted,high,red,dash
34,0.916955307,High Risk - ATE Weighted,high,red,dash
35,0.916955307,High Risk - ATE Weighted,high,red,dash
36,0.915943598,High Risk - ATE Weighted,high,red,dash
37,0.910967776,High Risk - ATE Weighted,high,red,dash
38,0.910967776,High Risk - ATE Weighted,high,red,dash
39,0.910967776,High Risk - ATE Weighted,high,red,dash
40,0.91011971,High Risk - ATE Weighted,high,red,dash
41,0.91011971,High Risk - ATE Weighted,high,red,dash
42,0.91011971,High Risk - ATE Weighted,high,red,dash
43,0.909034175,High Risk - ATE Weighted,high,red,dash
44,0.909034175,High Risk - ATE Weighted,high,red,dash
45,0.909034175,High Risk - ATE Weighted,high,red,dash
46,0.909034175,High Risk - ATE Weighted,high,red,dash
47,0.90486008,High Risk - ATE Weighted,high,red,dash
48,0.90486008,High Risk - ATE Weighted,high,red,dash
49,0.902271697,High Risk - ATE Weighted,high,red,dash
50,0.901336741,High Risk - ATE Weighted,high,red,dash
51,0.896836045,High Risk - ATE Weighted,high,red,dash
52,0.895179042,High Risk - ATE Weighted,high,red,dash
53,0.895179042,High Risk - ATE Weighted,high,red,dash
54,0.892514808,High Risk - ATE Weighted,high,red,dash
55,0.890424109,High Risk - ATE Weighted,high,red,dash
56,0.889197513,High Risk - ATE Weighted,high,red,dash
57,0.886525618,High Risk - ATE Weighted,high,red,dash
58,0.886525618,High Risk - ATE Weighted,high,red,dash
59,0.883264715,High Risk - ATE Weighted,high,red,dash
60,0.883264715,High Risk - ATE Weighted,high,red,dash
61,0.883264715,High Risk - ATE Weighted,high,red,dash
62,0.883264715,High Risk - ATE Weighted,high,red,dash
63,0.88167147,High Risk - ATE Weighted,high,red,dash
64,0.879249729,High Risk - ATE Weighted,high,red,dash
65,0.879249729,High Risk - ATE Weighted,high,red,dash
66,0.87480252,High Risk - ATE Weighted,high,red,dash
67,0.873467413,High Risk - ATE Weighted,high,red,dash
68,0.873467413,High Risk - ATE Weighted,high,red,dash
69,0.870316407,High Risk - ATE Weighted,high,red,dash
70,0.870316407,High Risk - ATE Weighted,high,red,dash
71,0.870316407,High Risk - ATE Weighted,high,red,dash
72,0.867275736,High Risk - ATE Weighted,high,red,dash
73,0.86454835,High Risk - ATE Weighted,high,red,dash
74,0.861485245,High Risk - ATE Weighted,high,red,dash
75,0.861485245,High Risk - ATE Weighted,high,red,dash
76,0.861485245,High Risk - ATE Weighted,high,red,dash
77,0.861485245,High Risk - ATE Weighted,high,red,dash
78,0.861485245,High Risk - ATE Weighted,high,red,dash
79,0.859368796,High Risk - ATE Weighted,high,red,dash
80,0.857447663,High Risk - ATE Weighted,high,red,dash
81,0.857447663,High Risk - ATE Weighted,high,red,dash
82,0.857447663,High Risk - ATE Weighted,high,red,dash
83,0.857447663,High Risk - ATE Weighted,high,red,dash
84,0.851492185,High Risk - ATE Weighted,high,red,dash
85,0.846931432,High Risk - ATE Weighted,high,red,dash
86,0.846931432,High Risk - ATE Weighted,high,red,dash
87,0.846931432,High Risk - ATE Weighted,high,red,dash
88,0.843702282,High Risk - ATE Weighted,high,red,dash
89,0.843702282,High Risk - ATE Weighted,high,red,dash
90,0.837630638,High Risk - ATE Weighted,high,red,dash
91,0.833744643,High Risk - ATE Weighted,high,red,dash
92,0.833744643,High Risk - ATE Weighted,high,red,dash
93,0.827046114,High Risk - ATE Weighted,high,red,dash
94,0.827046114,High Risk - ATE Weighted,high,red,dash
95,0.820425444,High Risk - ATE Weighted,high,red,dash
96,0.820425444,High Risk - ATE Weighted,high,red,dash
97,0.813620067,High Risk - ATE Weighted,high,red,dash
98,0.813620067,High Risk - ATE Weighted,high,red,dash
99,0.813620067,High Risk - ATE Weighted,high,red,dash
100,0.813620067,High Risk - ATE Weighted,high,red,dash
101,0.813620067,High Risk - ATE Weighted,high,red,dash
102,0.813620067,High Risk - ATE Weighted,high,red,dash
103,0.813620067,High Risk - ATE Weighted,high,red,dash
104,0.813620067,High Risk - ATE Weighted,high,red,dash
105,0.813620067,High Risk - ATE Weighted,high,red,dash
106,0.813620067,High Risk - ATE Weighted,high,red,dash
107,0.813620067,High Risk - ATE Weighted,high,red,dash
108,0.813620067,High Risk - ATE Weighted,high,red,dash
110,0.813620067,High Risk - ATE Weighted,high,red,dash
111,0.813620067,High Risk - ATE Weighted,high,red,dash
112,0.813620067,High Risk - ATE Weighted,high,red,dash
113,0.813620067,High Risk - ATE Weighted,high,red,dash
114,0.792887202,High Risk - ATE Weighted,high,red,dash
115,0.792887202,High Risk - ATE Weighted,high,red,dash
116,0.792887202,High Risk - ATE Weighted,high,red,dash
117,0.792887202,High Risk - ATE Weighted,high,red,dash
118,0.792887202,High Risk - ATE Weighted,high,red,dash
120,0.792887202,High Risk - ATE Weighted,high,red,dash
121,0.792887202,High Risk - ATE Weighted,high,red,dash
122,0.792887202,High Risk - ATE Weighted,high,red,dash
123,0.792887202,High Risk - ATE Weighted,high,red,dash
124,0.792887202,High Risk - ATE Weighted,high,red,dash
125,0.792887202,High Risk - ATE Weighted,high,red,dash
126,0.792887202,High Risk - ATE Weighted,high,red,dash
127,0.792887202,High Risk - ATE Weighted,high,red,dash
131,0.792887202,High Risk - ATE Weighted,high,red,dash
